air_water,species,temp,limpet,mass_submerged_g,mass_air_g,mass_empty_shell_g,mass_tin_tare_g,mass_dry_gross_g,image_id,mass_tissue_live_g,mass_net_dry_tissue_g,mass_net_disp_g,vol_limpet_cm3,area_shell_mm2,date_collection,date_trial,comment
Air,L._austrodigitalis,10,dig151,0.0684,0.1607,nd,0.0816,0.097,dig151,nd,0.0154,0.0923,0.09457981,69.93,7/23/2013,7/29/2013,nd
Air,L._austrodigitalis,10,dig153,0.0592,0.1541,nd,0.0813,0.0981,dig153,nd,0.0168,0.0949,0.09724403,69.44,7/23/2013,7/29/2013,nd
Air,L._austrodigitalis,10,dig156,0.0491,0.1267,nd,0.063,0.0794,dig156,nd,0.0164,0.0776,0.07951672,64.61,7/23/2013,7/29/2013,nd
Air,L._austrodigitalis,10,dig234,0.15,0.3658,nd,0.1654,0.2046,dig234,nd,0.0392,0.2158,0.22113026,118.68,7/29/2013,8/2/2013,nd
Air,L._austrodigitalis,10,dig238,0.266,0.6389,nd,0.1476,0.2055,dig238,nd,0.0579,0.3729,0.38211063,167.94,7/29/2013,8/2/2013,nd
Air,L._austrodigitalis,10,dig241,0.1662,0.4103,nd,0.1675,0.2035,dig241,nd,0.036,0.2441,0.25012927,140.06,7/29/2013,8/2/2013,nd
Air,L._austrodigitalis,10,dig326,0.1121,0.3062,nd,0.0709,0.1073,dig326,nd,0.0364,0.1941,0.19889427,nd,8/6/2013,8/9/2013,nd
Air,L._austrodigitalis,10,dig328,0.1484,0.3695,nd,0.0556,0.0959,dig328,nd,0.0403,0.2211,0.22656117,nd,8/6/2013,8/9/2013,nd
Air,L._austrodigitalis,10,dig330,0.1623,0.4332,nd,0.0622,0.1135,dig330,nd,0.0513,0.2709,0.27759123,nd,8/6/2013,8/9/2013,nd
Air,L._austrodigitalis,10,dig397,0.0688,0.1653,0.1055,0.0612,0.0826,dig397,0.0598,0.0214,0.0965,0.09888355,86.13,8/12/2013,8/15/2013,nd
Air,L._austrodigitalis,10,dig399,0.0472,0.1299,0.0771,0.0755,0.0856,dig399,0.0528,0.0101,0.0827,0.08474269,67.66,8/12/2013,8/15/2013,nd
Air,L._austrodigitalis,10,dig406,0.0643,0.1474,0.1057,0.0603,0.0773,dig406,0.0417,0.017,0.0831,0.08515257,65.16,8/12/2013,8/15/2013,nd
Air,L._austrodigitalis,10,dig435,0.1328,0.3258,0.2093,0.0985,0.1256,dig435,0.1165,0.0271,0.193,0.1977671,98.07,8/12/2013,8/18/2013,nd
Air,L._austrodigitalis,10,dig439,0.0723,0.1839,0.1136,0.1075,0.1256,dig439,0.0703,0.0181,0.1116,0.11435652,71.67,8/12/2013,8/18/2013,nd
Air,L._austrodigitalis,10,dig443,0.0774,0.2056,0.1219,0.121,0.1402,dig443,0.0837,0.0192,0.1282,0.13136654,90.73,8/12/2013,8/18/2013,nd
Air,L._austrodigitalis,10,dig459,0.0989,0.2696,0.1548,0.1201,0.1429,dig459,0.1148,0.0228,0.1707,0.17491629,93.94,8/12/2013,8/19/2013,nd
Air,L._austrodigitalis,10,dig463,0.1692,0.4151,0.2678,0.1464,0.1781,dig463,0.1473,0.0317,0.2459,0.25197373,120.83,8/12/2013,8/19/2013,nd
Air,L._austrodigitalis,10,dig464,0.1106,0.2924,0.1719,0.1301,0.1604,dig464,0.1205,0.0303,0.1818,0.18629046,89.45,8/12/2013,8/19/2013,nd
Air,L._austrodigitalis,10,dig760,0.0603,0.1606,0.0987,0.0955,0.1119,dig760,0.0619,0.0164,0.1003,0.10277741,74.15,9/4/2013,9/10/2013,nd
Air,L._austrodigitalis,10,dig764,0.1842,0.4593,0.2862,0.0969,0.1383,dig764,0.1731,0.0414,0.2751,0.28189497,170.71,9/4/2013,9/10/2013,nd
Air,L._austrodigitalis,10,dig768,0.0763,0.2052,0.1278,0.1114,0.1322,dig768,0.0774,0.0208,0.1289,0.13208383,85.49,9/4/2013,9/10/2013,nd
Air,L._austrodigitalis,10,dig807,0.1717,0.4301,0.2711,0.1068,0.1495,dig807,0.159,0.0427,0.2584,0.26478248,141.45,9/9/2013,9/12/2013,nd
Air,L._austrodigitalis,10,dig811,0.1686,0.4252,0.2654,0.1023,0.146,dig811,0.1598,0.0437,0.2566,0.26293802,140.43,9/9/2013,9/12/2013,nd
Air,L._austrodigitalis,10,dig815,0.2438,0.6294,0.393,0.0869,0.1412,dig815,0.2364,0.0543,0.3856,0.39512432,183.58,9/9/2013,9/12/2013,nd
Air,L._austrodigitalis,10,dig844,0.1061,0.2631,0.1677,0.1045,0.1317,dig844,0.0954,0.0272,0.157,0.1608779,83.37,9/9/2013,9/13/2013,nd
Air,L._austrodigitalis,10,dig848,0.1145,0.3026,0.1847,0.1029,0.1346,dig848,0.1179,0.0317,0.1881,0.19274607,103.18,9/9/2013,9/13/2013,nd
Air,L._austrodigitalis,10,dig852,0.1731,0.4231,0.2815,0.0948,0.1286,dig852,0.1416,0.0338,0.25,0.256175,137.79,9/9/2013,9/13/2013,nd
Air,L._austrodigitalis,10,dig867,0.1455,0.4025,0.2385,0.1054,0.1503,dig867,0.164,0.0449,0.257,0.2633479,141.68,9/9/2013,9/14/2013,nd
Air,L._austrodigitalis,10,dig871,0.1017,0.2828,0.1654,0.0986,0.1298,dig871,0.1174,0.0312,0.1811,0.18557317,104.74,9/9/2013,9/14/2013,chipped_shell
Air,L._austrodigitalis,10,dig875,0.1139,0.3289,0.1863,0.0963,0.1335,dig875,0.1426,0.0372,0.215,0.2203105,125.24,9/9/2013,9/14/2013,nd
